"Licenses","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"COMM FISHING LICENSE (R)","5,570","5,773","5,941","5,901","5,834","5,543","5,688","5,412","5,499","5,558"
"COMM FISHING LICENSE (NR)","728","918","889","868","933","907","1,144","1,145","831","841"
"COMM BOAT REGISTRATION (R)","2,812","2,818","2,833","2,828","2,821","2,894","2,800","2,767","2,458","2,814"
"COMM BOAT REGISTRATION (NR)","302","309","313","303","288","316","323","337","296","314"
"COMM PASSENGER FISHING VESSEL","442","429","421","437","454","480","492","502","560","559"
"COMM AIRCRAFT REGISTRATION","11","8","7","7","6","6","7","6","7","5"
"COMM SALMON STAMP","1,328","1,449","1,636","1,721","1,745","1,685","1,423","1,312","1,394","1,587"
"JOHN DOE SALMON STAMP","93","255","322","355","343","330","221","169","179","259"
"COMM OCEAN ENHANCEMENT STAMP","802","917","1,051","1,124","1,125","1,139","1,132","1,165","1,144","1,111"
"Limited Entry & Restricted Access","","","","","","","","","",""
"CALIFORNIA HALIBUT BOTTOM TRAWL VESSEL PERMIT","48","49","48","47","44","42","42","41","41","41"
"DEEPER NEARSHORE SPECIES FISHERY PERMIT","210","201","198","192","187","185","182","179","177","176"
"DRIFT GILL NET SHARK/SWORDFISH PERMIT","83","82","78","74","74","73","70","69","68","2"
"DUNGENESS CRAB VESSEL PERMIT (R)","502","See Below","See Below","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT (R) (T)","N/A","476","468","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT (R) (NT)","N/A","18","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT (NR)","76","See Below","See Below","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT (NR) (T)","N/A","69","71","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT (NR) (NT)","N/A","9","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DUNGENESS CRAB VESSEL PERMIT NT (NR) - TIER 1","N/A","N/A","N/A","0","0","0","0","0","0","0"
"DUNGENESS CRAB VESSEL PERMIT NT (NR) - TIER 2","N/A","N/A","N/A","0","1","1","1","0","0","0"
"DUNGENESS CRAB VESSEL PERMIT NT (NR) - TIER 3","N/A","N/A","N/A","0","1","0","1","0","0","1"
